sample,n_units,h_z_corr,theta_y_scale_multiplier,method,config,T0,T1,branch,estimator,n,coverage,mean_bias,mean_abs_error,rmse,mean_se,sd_bias,mean_weight_corr,mean_shock,mean_iv_moment_bias_ratio,critical
restricted,49,0.25,1.5,HAC,finite_length,5,10,GFE,TSLS,1000,0.802,0.01979594626206733,0.3729980424998014,0.5664456330069618,0.30792893573827806,0.5663828786514266,0.9336887671454831,0.0,0.01979594626206734,1.9599639845400536
restricted,49,0.25,1.5,HAC,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.735,0.027232136799834373,0.12616209116795327,0.1998265184504549,0.09851216998484214,0.1980612947494359,0.7728772747565975,0.031727813236998165,0.02723213679983437,1.9599639845400536
restricted,49,0.25,1.5,HAC,finite_length,5,10,GFE + Agg. Shock,TSLS,1000,0.726,0.12821971233269497,1.3917840949589244,15.842011818871637,405.7545894784218,15.84941961956068,0.7728772747565975,0.0018329317388678774,0.12821971233269375,1.9599639845400536
restricted,49,0.25,3.0,AR,finite_length,5,10,Aggregate Shock,SIV,1000,0.744,nan,nan,nan,nan,nan,0.7660321753722835,0.003629978639745202,0.0049711205735202295,2.306004135204166
restricted,49,0.25,3.0,AR,finite_length,5,10,Aggregate Shock,TSLS,1000,0.665,nan,nan,nan,nan,nan,0.7660321753722835,0.256192485937773,0.2521345802690779,2.306004135204166
restricted,49,0.25,3.0,AR,finite_length,5,10,Basic,SIV,1000,0.84,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0010161214696911528,2.306004135204166
restricted,49,0.25,3.0,AR,finite_length,5,10,Basic,TSLS,1000,0.834,nan,nan,nan,nan,nan,0.934528132971296,0.0,0.0011162125130108965,2.306004135204166
restricted,49,0.25,3.0,AR,finite_length,5,10,GFE,SIV,1000,0.812,nan,nan,nan,nan,nan,0.9336887671454831,0.0,-1.3798899967082056e-05,2.306004135204166
restricted,49,0.25,3.0,AR,finite_length,5,10,GFE,TSLS,1000,0.811,nan,nan,nan,nan,nan,0.9336887671454831,0.0,0.01979594626206734,2.306004135204166
restricted,49,0.25,3.0,AR,finite_length,5,10,GFE + Agg. Shock,SIV,1000,0.762,nan,nan,nan,nan,nan,0.7682398441448426,0.028304876881640257,0.021963051232193373,2.306004135204166
